                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0861,                0.62418,                 1.0255,                0.80779,                0.60794,                0.68283,                0.41502,                 1.2839,                0.69823,                 1.0892,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0881,                0.62229,                 1.0135,                0.60427,                0.67282,                0.66353,                0.39373,                 1.2429,                0.69672,                 1.0657,               0.000948,               0.000948,               0.000948
                     37,                 1.0925,                0.62208,                 1.0311,                0.79056,                 0.6023,                0.66728,                0.40515,                 1.2731,                0.71071,                  1.074,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0896,                0.62124,                 1.0165,                0.84479,                0.53423,                 0.6717,                 0.4189,                 1.2281,                0.68578,                 1.0563,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0744,                0.61244,                 1.0169,                0.67161,                0.65125,                0.65881,                0.40273,                  1.283,                0.69938,                 1.0772,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0805,                0.61921,                  1.018,                0.75573,                0.59979,                0.67388,                0.43197,                 1.2081,                0.66943,                 1.0644,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0774,                0.59661,                 1.0125,                0.81779,                0.57268,                0.70123,                0.44201,                 1.2015,                0.67208,                 1.0527,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0625,                0.59721,                 1.0095,                0.67959,                0.64042,                0.65355,                0.40556,                 1.1919,                0.66428,                 1.0521,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0531,                0.59791,                 1.0065,                0.78683,                0.63821,                0.71444,                0.45128,                 1.2266,                0.63976,                 1.0654,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0461,                0.60167,                 1.0084,                0.69785,                 0.5886,                0.66614,                0.41023,                 1.2367,                0.64952,                 1.0661,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0564,                0.58559,                 1.0153,                0.74066,                 0.6162,                0.67643,                0.43407,                 1.2335,                0.69608,                 1.0653,             0.00082067,             0.00082067,             0.00082067
                     46,                  1.041,                 0.5826,                 1.0021,                0.81831,                0.62275,                0.69288,                0.43519,                 1.2363,                 0.6555,                 1.0542,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0436,                0.56948,                 0.9965,                0.77414,                0.62059,                0.70254,                0.45198,                 1.2144,                0.64242,                 1.0458,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.0488,                0.56879,                0.99817,                0.74883,                0.61095,                0.68968,                 0.4391,                 1.2332,                0.64561,                 1.0611,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.0499,                0.57157,                  1.005,                0.78631,                0.60741,                0.69593,                0.44955,                 1.2395,                0.64663,                 1.0515,             0.00076409,             0.00076409,             0.00076409
                     50,                  1.028,                0.55443,                0.98898,                0.74399,                0.65509,                0.72134,                0.45281,                 1.2543,                0.64892,                 1.0675,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0276,                0.55094,                0.99709,                 0.8101,                0.61812,                0.71628,                0.45177,                 1.2171,                0.62049,                 1.0508,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.0157,                0.53667,                0.98538,                0.79262,                0.65415,                0.69278,                0.43483,                 1.2227,                0.65145,                 1.0534,             0.00072164,             0.00072164,             0.00072164
                     53,                0.99742,                0.55422,                0.98154,                0.72369,                0.66467,                0.66003,                0.41791,                 1.2208,                0.65033,                 1.0512,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.023,                0.54616,                0.98445,                0.73237,                0.69664,                0.70144,                0.44806,                 1.2357,                0.63129,                   1.06,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0097,                0.53432,                0.98209,                 0.7671,                0.71809,                0.73815,                0.48208,                 1.1864,                 0.6213,                 1.0438,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0076,                0.53757,                0.97543,                0.79294,                0.63669,                0.70345,                0.45825,                  1.183,                0.63064,                 1.0378,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.9841,                0.52095,                0.96903,                0.75528,                0.67457,                  0.733,                0.45826,                 1.2452,                 0.6347,                 1.0608,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.9949,                 0.5265,                0.97818,                0.78322,                 0.6577,                0.70701,                 0.4467,                 1.2376,                 0.6414,                  1.057,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.9782,                0.51003,                0.97543,                0.84089,                0.64697,                0.74396,                0.46692,                 1.2195,                0.62463,                 1.0503,             0.00062262,             0.00062262,             0.00062262
                     60,                0.97592,                0.52094,                0.97428,                0.76681,                0.64446,                0.68421,                0.43573,                 1.2293,                0.63308,                 1.0537,             0.00060847,             0.00060847,             0.00060847
                     61,                0.98524,                0.52028,                0.97486,                0.77944,                0.66604,                0.70333,                0.43824,                 1.2158,                0.61179,                 1.0512,             0.00059432,             0.00059432,             0.00059432
                     62,                0.96015,                0.50268,                0.96246,                0.70752,                0.66498,                 0.7174,                 0.4713,                  1.203,                0.61069,                 1.0416,             0.00058017,             0.00058017,             0.00058017
                     63,                0.98537,                 0.5154,                0.96874,                0.80072,                0.64555,                 0.7096,                 0.4464,                 1.2152,                0.62049,                 1.0463,             0.00056603,             0.00056603,             0.00056603
                     64,                 0.9771,                0.51164,                0.96598,                0.75195,                 0.7075,                0.74739,                  0.495,                 1.1923,                0.60943,                 1.0402,             0.00055188,             0.00055188,             0.00055188
                     65,                  0.947,                 0.4916,                0.95919,                0.74939,                0.68343,                0.75135,                0.49489,                 1.1768,                0.59415,                   1.04,             0.00053773,             0.00053773,             0.00053773
                     66,                0.94336,                0.49444,                0.95794,                0.86652,                0.62941,                0.74809,                0.47887,                 1.2047,                0.60604,                 1.0478,             0.00052359,             0.00052359,             0.00052359
                     67,                0.96246,                0.49199,                0.95877,                0.85014,                0.64787,                0.74275,                 0.4728,                 1.2329,                0.59826,                 1.0564,             0.00050944,             0.00050944,             0.00050944
                     68,                0.94872,                0.48561,                0.96113,                0.74178,                0.67638,                0.73935,                0.47187,                 1.1952,                0.64567,                 1.0544,             0.00049529,             0.00049529,             0.00049529
                     69,                0.93482,                0.48527,                0.95161,                0.77263,                0.72833,                0.74632,                0.47716,                 1.2154,                0.61075,                 1.0446,             0.00048114,             0.00048114,             0.00048114
                     70,                0.93482,                0.48666,                0.96007,                0.82998,                0.68422,                0.75494,                0.48012,                 1.2047,                0.60719,                  1.048,               0.000467,               0.000467,               0.000467
                     71,                 0.9251,                0.47706,                0.94925,                0.74682,                0.70848,                0.74069,                0.48366,                 1.1827,                0.60854,                 1.0462,             0.00045285,             0.00045285,             0.00045285
                     72,                0.93739,                0.47786,                0.95515,                0.80809,                0.65246,                0.72794,                0.47221,                 1.2113,                 0.5956,                  1.051,              0.0004387,              0.0004387,              0.0004387
                     73,                0.92752,                0.46489,                0.94846,                0.74881,                0.72345,                0.76059,                0.50632,                 1.1823,                0.58239,                   1.04,             0.00042456,             0.00042456,             0.00042456
                     74,                0.93399,                0.48304,                0.95291,                0.78681,                0.70105,                0.75292,                0.48403,                 1.2088,                 0.6029,                 1.0552,             0.00041041,             0.00041041,             0.00041041
                     75,                0.91637,                 0.4596,                0.94604,                 0.7356,                0.70036,                0.76314,                0.48886,                 1.1975,                0.59794,                 1.0567,             0.00039626,             0.00039626,             0.00039626
                     76,                0.89876,                0.45139,                0.94777,                0.75425,                0.73112,                0.77007,                0.48459,                 1.2217,                0.58896,                 1.0626,             0.00038211,             0.00038211,             0.00038211
                     77,                0.90198,                0.45872,                 0.9365,                0.74555,                 0.7237,                 0.7647,                0.48832,                 1.2301,                 0.6067,                 1.0618,             0.00036797,             0.00036797,             0.00036797
                     78,                 0.8953,                0.45145,                 0.9381,                0.82902,                0.68838,                0.76434,                0.49519,                 1.2168,                0.58248,                 1.0562,             0.00035382,             0.00035382,             0.00035382
                     79,                0.88755,                0.44581,                0.93908,                0.75816,                0.73508,                0.76432,                0.48985,                 1.2006,                0.58526,                 1.0539,             0.00033967,             0.00033967,             0.00033967
                     80,                0.89809,                0.45352,                0.93421,                0.83062,                0.65744,                 0.7477,                0.48412,                 1.1989,                0.58403,                 1.0511,             0.00032553,             0.00032553,             0.00032553
                     81,                0.89827,                0.45054,                0.92973,                0.79477,                0.67435,                0.75418,                0.48117,                 1.2211,                0.58763,                 1.0523,             0.00031138,             0.00031138,             0.00031138
                     82,                0.87718,                0.44512,                0.93351,                 0.7815,                0.66203,                0.75589,                0.48735,                 1.1946,                0.58124,                 1.0521,             0.00029723,             0.00029723,             0.00029723
                     83,                0.88213,                0.44303,                0.93045,                0.69613,                0.75687,                0.75096,                0.49349,                  1.218,                0.57952,                 1.0509,             0.00028308,             0.00028308,             0.00028308
                     84,                0.87331,                 0.4409,                0.93445,                0.72449,                0.75299,                0.76538,                0.50444,                 1.1908,                0.57494,                 1.0493,             0.00026894,             0.00026894,             0.00026894
                     85,                0.86258,                0.43555,                0.92111,                0.77282,                0.72418,                0.77386,                0.50745,                 1.2266,                0.58355,                 1.0568,             0.00025479,             0.00025479,             0.00025479
                     86,                0.86423,                0.43499,                 0.9267,                0.80994,                 0.6704,                0.76085,                0.50075,                 1.1787,                0.57377,                  1.045,             0.00024064,             0.00024064,             0.00024064
                     87,                0.87643,                0.43886,                0.92606,                0.79737,                 0.6748,                0.75984,                0.48756,                 1.2205,                0.59564,                 1.0574,              0.0002265,              0.0002265,              0.0002265
                     88,                0.85949,                 0.4318,                0.92587,                0.76592,                0.71819,                 0.7551,                0.48935,                 1.2033,                0.58356,                 1.0548,             0.00021235,             0.00021235,             0.00021235
                     89,                0.82873,                0.41922,                0.91464,                0.74636,                0.72178,                0.76751,                0.49879,                 1.2254,                 0.5789,                 1.0605,              0.0001982,              0.0001982,              0.0001982
                     90,                0.84866,                 0.4311,                0.91449,                0.79094,                0.67524,                0.75781,                0.49305,                 1.2152,                0.57996,                 1.0554,             0.00018406,             0.00018406,             0.00018406
                     91,                 0.8409,                0.41732,                0.91485,                 0.7867,                0.69081,                 0.7729,                0.50345,                  1.223,                0.57922,                 1.0622,             0.00016991,             0.00016991,             0.00016991
                     92,                0.83841,                0.41621,                0.92225,                0.72011,                0.72556,                0.77423,                0.50256,                 1.2129,                0.56802,                  1.057,             0.00015576,             0.00015576,             0.00015576
                     93,                0.84407,                0.42439,                0.91756,                0.85504,                0.70888,                0.79093,                0.50105,                 1.2136,                0.57035,                 1.0607,             0.00014161,             0.00014161,             0.00014161
                     94,                0.81496,                0.40961,                0.91125,                0.86413,                0.71367,                0.79243,                0.50673,                 1.2105,                0.56858,                 1.0534,             0.00012747,             0.00012747,             0.00012747
                     95,                0.81582,                0.41154,                0.90298,                0.82026,                0.72569,                0.78488,                0.50923,                 1.2089,                0.56763,                 1.0519,             0.00011332,             0.00011332,             0.00011332
                     96,                0.82089,                0.40688,                0.90498,                0.77466,                0.72323,                0.76757,                 0.5028,                 1.2145,                0.56145,                 1.0552,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.82066,                0.40769,                 0.9063,                0.82023,                 0.6857,                0.76783,                0.49422,                 1.2275,                0.56912,                 1.0604,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.81175,                0.40606,                0.90965,                 0.8551,                0.65187,                0.77028,                0.50295,                 1.2131,                0.56571,                 1.0537,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.81815,                0.40983,                0.91018,                 0.8533,                0.64398,                0.76778,                0.51285,                 1.1985,                0.56035,                  1.051,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.81083,                0.40232,                0.90599,                0.87856,                0.64167,                0.77337,                0.51387,                 1.2137,                0.56151,                 1.0541,             4.2584e-05,             4.2584e-05,             4.2584e-05
